code,description,abc_class,description1,description2,description3,apn,group_code,brand,condition_code,default_conversion_factor,issue_ctrl,stk_licences_rebate_flag,pack_weight,title,stock_status,sales_type,user_only_alpha20_1,user_only_alpha20_2,user_only_alpha4_1,user_only_alpha4_2,user_only_alpha4_3,user_only_alpha4_4,user_only_date1,user_only_date2,user_only_num1,user_only_num2,user_only_num3,user_only_num4,pronto_user_group,pronto_user_group_1,saleability,visibility,uom,pack_size,updated_at,created_at,prices,notes,alternative_products,companion_products,inventory_quantities,uoms,categories,desc
SWA-SUNR150,Solar Filter 150mm for Refractor,,Solar Filter 150mm for,Refractor,,9334046006858,SKY,SKYWATCHER,,1,,,0.0,,S,,,,,,,,,,0.0,0.0,0.0,0.0,,,True,True,EA,1.0,03:20 03-Mar-2025,10:35 15-May-2015,"{'debtor': '210326', 'breaks': [{'price_rule': '06', 'currency_code': '', 'inc_tax': '26.18', 'ex_tax': '23.8', 'min_qty': 1, 'max_qty': None}], 'base_price': {'currency_code': '', 'inc_tax': '26.18', 'ex_tax': '23.8'}}","{'type': '**', 'note': 'skywatcher'}",,,"{'warehouse': '1', 'quantity': '7.0'}{'warehouse': 'DO', 'quantity': '0.0'}","{'code': 'CTN', 'conv': '1.0', 'gtin': '', 'weight': '0.0', 'height': '0.0', 'width': '0.0', 'depth': '0.0'}{'code': 'EA', 'conv': '1.0', 'gtin': '', 'weight': '0.0', 'height': '0.0', 'width': '0.0', 'depth': '0.0'}{'code': 'PLT', 'conv': '999999.0', 'gtin': '', 'weight': '0.0', 'height': '0.0', 'width': '0.0', 'depth': '0.0'}",100_0|SKY|SKY|solar|SKYWATCHER,"<div id=""tabs-1""><div class=""short-description std"">
<ul>
<li>Economical full aperture baader solar film filter</li>
<li>Observe the sun safely</li>
<li>Placed over the front of your telescope</li>
<li>Reduces the intensity of the Sun's light significantly</li>
<li>Reflects away harmful rays.</li>
<li>View subtle faculae and sun spots</li>
<li>5 years Skywatcher limited warranty</li>
</ul>
</div></div>"
SWA-POLAR-NEQ6,Polar Scope for EQ5 NEQ6,,Polar Scope for EQ5 NEQ6,,,9334046002119,SKY,SKYWATCHER,,1,,,0.0,,S,,,,,,,,,,0.0,0.0,0.0,0.0,,,True,True,EA,1.0,03:20 03-Mar-2025,15:45 23-Jan-2015,"{'debtor': '210326', 'breaks': [{'price_rule': '06', 'currency_code': '', 'inc_tax': '54.835', 'ex_tax': '49.85', 'min_qty': 1, 'max_qty': None}], 'base_price': {'currency_code': '', 'inc_tax': '54.835', 'ex_tax': '49.85'}}","{'type': '**', 'note': 'skywatcher SWPOLAR-6'}",,,"{'warehouse': '1', 'quantity': '3.0'}{'warehouse': '1A', 'quantity': '0.0'}{'warehouse': '1EC', 'quantity': '0.0'}","{'code': 'EA', 'conv': '1.0', 'gtin': '', 'weight': '0.0', 'height': '0.0', 'width': '0.0', 'depth': '0.0'}{'code': 'PLT', 'conv': '99999.0', 'gtin': '', 'weight': '0.0', 'height': '0.0', 'width': '0.0', 'depth': '0.0'}",100_0|Polar-and-Finderscopes|skywatcher|SKY|SKY|SKYWATCHER,"<div id=""tabs-1""></div>"
SWA-SHROUD18,Cloth Shroud for 18\Collapsible Dobsonian,,Cloth Shroud for 18\,Collapsible Dobsonian,,9334046002188,SKY,SKYWATCHER,O,1,,,0.0,,S,,,,,,,,,,0.0,0.0,0.0,0.0,,,True,True,EA,1.0,03:20 03-Mar-2025,12:26 20-Mar-2015,"{'debtor': '210326', 'breaks': [{'price_rule': '06', 'currency_code': '', 'inc_tax': '129.404', 'ex_tax': '117.64', 'min_qty': 1, 'max_qty': None}], 'base_price': {'currency_code': '', 'inc_tax': '129.404', 'ex_tax': '117.64'}}","{'type': '**', 'note': 'skywatcher'}",,,"{'warehouse': '1', 'quantity': '4.0'}{'warehouse': 'RAWO', 'quantity': '0.0'}{'warehouse': '4', 'quantity': '0.0'}{'warehouse': '1SER', 'quantity': '0.0'}","{'code': 'CTN', 'conv': '1.0', 'gtin': '', 'weight': '0.0', 'height': '0.0', 'width': '0.0', 'depth': '0.0'}{'code': 'EA', 'conv': '1.0', 'gtin': '', 'weight': '0.0', 'height': '0.0', 'width': '0.0', 'depth': '0.0'}{'code': 'PLT', 'conv': '999999.0', 'gtin': '', 'weight': '0.0', 'height': '0.0', 'width': '0.0', 'depth': '0.0'}",200_0|dobacc|dob-acc|Accessories|SKY|SKY|end-of-line-clearance|SKYWATCHER,"<div id=""tabs-1""><div class=""short-description std"">
<ul>
<li>Fits 14 inch Dobsonian Telescope</li>
<li>Lightweight and Breathable Black Fiber</li>
</ul>
</div></div>"
SWA-BDFF150ED,0.85x Reducer / Flattener for Evostar 150ED,,0.85x Reducer / Flattener for,Evostar 150ED,,9334046009781,SKY,SKYWATCHER,,1,,,0.0,,S,,,,,,,,,,0.0,0.0,0.0,0.0,,,True,True,EA,1.0,03:20 03-Mar-2025,08:28 13-Oct-2017,"{'debtor': '210326', 'breaks': [{'price_rule': '06', 'currency_code': '', 'inc_tax': '379.654', 'ex_tax': '345.14', 'min_qty': 1, 'max_qty': None}], 'base_price': {'currency_code': '', 'inc_tax': '379.654', 'ex_tax': '345.14'}}","{'type': '**', 'note': 'reducer/flattener skywatcher'}",,,"{'warehouse': '1', 'quantity': '3.0'}{'warehouse': '4', 'quantity': '1.0'}{'warehouse': '1SER', 'quantity': '0.0'}","{'code': 'CTN', 'conv': '1.0', 'gtin': '', 'weight': '0.0', 'height': '0.0', 'width': '0.0', 'depth': '0.0'}{'code': 'EA', 'conv': '1.0', 'gtin': '', 'weight': '0.0', 'height': '0.0', 'width': '0.0', 'depth': '0.0'}{'code': 'PLT', 'conv': '999999.0', 'gtin': '', 'weight': '0.0', 'height': '0.0', 'width': '0.0', 'depth': '0.0'}",500_0|bded|photooptics|SKY|SKY|SKYWATCHER,"<div id=""tabs-1""></div>"
SWA-POLAR-EQ8,Polar Scope for EQ8,,Polar Scope for EQ8,,,9334046008371,SKY,SKYWATCHER,,1,,,0.0,,S,,,,,,,,,,0.0,0.0,0.0,0.0,,,True,True,EA,1.0,03:20 03-Mar-2025,15:45 23-Jan-2015,"{'debtor': '210326', 'breaks': [{'price_rule': '06', 'currency_code': '', 'inc_tax': '242.913', 'ex_tax': '220.83', 'min_qty': 1, 'max_qty': None}], 'base_price': {'currency_code': '', 'inc_tax': '242.913', 'ex_tax': '220.83'}}","{'type': '**', 'note': 'skywatcher'}",,,"{'warehouse': '1', 'quantity': '6.0'}{'warehouse': '1A', 'quantity': '0.0'}{'warehouse': '1SER', 'quantity': '0.0'}{'warehouse': '1EC', 'quantity': '0.0'}","{'code': 'EA', 'conv': '1.0', 'gtin': '', 'weight': '0.0', 'height': '0.0', 'width': '0.0', 'depth': '0.0'}{'code': 'PLT', 'conv': '99999.0', 'gtin': '', 'weight': '0.0', 'height': '0.0', 'width': '0.0', 'depth': '0.0'}",300_0|eq8|Polar-and-Finderscopes|SKY|SKY|SKYWATCHER,"<div id=""tabs-1""><div class=""grid-code"">
<ul>
<li><span style=""font-family: arial, helvetica, sans-serif; font-size: 10pt;"">The Skywatcher EQ8 mount can be aligned using the Synscan handset but this traditional Polar Alignment Scope is also available. </span></li>
<li><span style=""font-family: arial, helvetica, sans-serif; font-size: 10pt;"">A polar axis finder scope speeds up and refines the polar alignment procedure. <br></span></li>
</ul>
</div></div>"
SW804PRESTO,80/400 Presto AZ Refractor Telescope,,80/400 Presto AZ Refractor,Telescope,,,SKY,SKYWATCHER,,1,,,0.0,,S,,,,,,,,,,0.0,0.0,0.0,0.0,,,True,True,EA,1.0,03:20 03-Mar-2025,11:25 22-Sep-2023,"{'debtor': '210326', 'breaks': [{'price_rule': '06', 'currency_code': '', 'inc_tax': '277.893', 'ex_tax': '252.63', 'min_qty': 1, 'max_qty': None}], 'base_price': {'currency_code': '', 'inc_tax': '277.893', 'ex_tax': '252.63'}}","{'type': '**', 'note': '80AZ alt-azsw80'}",,,"{'warehouse': '1', 'quantity': '10.0'}{'warehouse': '1A', 'quantity': '0.0'}{'warehouse': 'DO', 'quantity': '0.0'}{'warehouse': '4', 'quantity': '0.0'}{'warehouse': 'EV', 'quantity': '0.0'}{'warehouse': 'AB', 'quantity': '0.0'}","{'code': 'EA', 'conv': '1.0', 'gtin': '', 'weight': '10.0', 'height': '25.0', 'width': '44.0', 'depth': '95.0'}{'code': 'PLT', 'conv': '99999.0', 'gtin': '', 'weight': '0.0', 'height': '0.0', 'width': '0.0', 'depth': '0.0'}",300_0|SKY|SKY|SKYWATCHER,"<div id=""tabs-1""></div>"
SWEIGHT1.7,"1.7kg Counterweight for EQ3 EQ5, White",,1.7kg Counterweight for EQ3,"EQ5, White",,,SKY,SKYWATCHER,O,1,,,0.0,,S,C2,,,,,,,,,0.0,0.0,0.0,0.0,,,True,True,EA,1.0,03:20 03-Mar-2025,09:25 28-Nov-2014,"{'debtor': '210326', 'breaks': [{'price_rule': '23', 'currency_code': '', 'inc_tax': '23.6632', 'ex_tax': '21.512', 'min_qty': 1, 'max_qty': None}], 'base_price': {'currency_code': '', 'inc_tax': '29.579', 'ex_tax': '26.89'}}","{'type': '**', 'note': '4.03.009.0075 5.05.001.0010'}",,,"{'warehouse': '1', 'quantity': '2.0'}","{'code': 'CTN', 'conv': '1.0', 'gtin': '', 'weight': '0.0', 'height': '0.0', 'width': '0.0', 'depth': '0.0'}{'code': 'EA', 'conv': '1.0', 'gtin': '', 'weight': '0.0', 'height': '0.0', 'width': '0.0', 'depth': '0.0'}{'code': 'PLT', 'conv': '999999.0', 'gtin': '', 'weight': '0.0', 'height': '0.0', 'width': '0.0', 'depth': '0.0'}",telescope-accessories|100_0|cntr-weight|skywatcher|SKY|SKY|end-of-line-clearance|SKYWATCHER,"<div id=""tabs-1""><div id=""product_tabs_description_contents"">
<div class=""product-specs"">
<ul>
<li>Machined Steel Counterweights</li>
<li>Compatible with Sphinx, Great Polaris, Great Polaris 2, Great Polaris D2, Great Polaris Economy, Super Polaris and Super Polaris DX Mounts</li>
<li>Bored with 20mm inner Diameter hole to fit 3/4"" (19mm) shaftes.</li>
</ul>
</div>
</div></div>"
SWA-CASENEQ6,Aluminium Case for NEQ6 Mount,,Aluminium Case for NEQ6 Mount,,,9334046003024,SKY,SKYWATCHER,,1,,,0.0,,S,,,,,,,,,,0.0,0.0,0.0,0.0,,,True,True,EA,1.0,03:20 03-Mar-2025,14:51 20-Mar-2015,"{'debtor': '210326', 'breaks': [{'price_rule': '06', 'currency_code': '', 'inc_tax': '178.948', 'ex_tax': '162.68', 'min_qty': 1, 'max_qty': None}], 'base_price': {'currency_code': '', 'inc_tax': '178.948', 'ex_tax': '162.68'}}","{'type': '**', 'note': 'skywatcher'}",,,"{'warehouse': '1', 'quantity': '3.0'}{'warehouse': '1A', 'quantity': '0.0'}{'warehouse': 'DO', 'quantity': '0.0'}","{'code': 'CTN', 'conv': '1.0', 'gtin': '', 'weight': '0.0', 'height': '0.0', 'width': '0.0', 'depth': '0.0'}{'code': 'EA', 'conv': '1.0', 'gtin': '', 'weight': '4.1', 'height': '0.53', 'width': '0.24', 'depth': '0.53'}{'code': 'PLT', 'conv': '99999.0', 'gtin': '', 'weight': '0.0', 'height': '0.0', 'width': '0.0', 'depth': '0.0'}",200_0|mech|cases|SKY|SKY|SKYWATCHER,"<div id=""tabs-1""><dl id=""collateral-tabs"" class=""collateral-tabs tab-list"">
<dd class=""tab-container"">
<div class=""tab-content"">
<div class=""std"">
<ul>
<li>Foam-filled Aluminium Case</li>
<li>Compact &amp; Convenient</li>
<li>Highly Affordable</li>
<li>External Dimensions: 520 x 500 x 220mm</li>
<li>One Year SkyWatcher Limited Warranty</li>
</ul>
</div>
</div>
</dd>
</dl></div>"
SWA-GUIDEMOUNT,Guidescope Mount,,Guidescope Mount,,,9334046007312,SKY,SKYWATCHER,,1,,,0.0,,S,,,,,,,,,,0.0,0.0,0.0,0.0,,,True,True,EA,1.0,03:20 03-Mar-2025,15:45 23-Jan-2015,"{'debtor': '210326', 'breaks': [{'price_rule': '06', 'currency_code': '', 'inc_tax': '265.276', 'ex_tax': '241.16', 'min_qty': 1, 'max_qty': None}], 'base_price': {'currency_code': '', 'inc_tax': '265.276', 'ex_tax': '241.16'}}","{'type': '**', 'note': 'skywatcher'}",,,"{'warehouse': '1', 'quantity': '13.0'}{'warehouse': '1A', 'quantity': '0.0'}{'warehouse': 'DO', 'quantity': '0.0'}{'warehouse': '4', 'quantity': '1.0'}{'warehouse': '1BB', 'quantity': '0.0'}{'warehouse': '1SER', 'quantity': '0.0'}","{'code': 'EA', 'conv': '1.0', 'gtin': '', 'weight': '6.7', 'height': '0.43', 'width': '0.43', 'depth': '0.19'}{'code': 'PLT', 'conv': '99999.0', 'gtin': '', 'weight': '0.0', 'height': '0.0', 'width': '0.0', 'depth': '0.0'}",300_0|guiding|SKY|SKY|SKYWATCHER,"<div id=""tabs-1""><div class=""short-description"">
<div class=""std"">
<ul>
<li>Easy &amp; Precise Alignments</li>
<li>Full Alt-Azimuth Control</li>
<li>Dovetail Mounting System</li>
<li>Quick-Release Detachments</li>
<li>One Year SkyWatcher Limited Warranty</li>
</ul>
<p> </p>
</div>
</div></div>"
SWA-Z721,Zoom 7-21mm 1.25\ Eyepiece,,Zoom 7-21mm 1.25\ Eyepiece,,,9334046006995,SKY,SKYWATCHER,T,1,,,0.0,,S,,,,,,,,,,0.0,0.0,0.0,0.0,,,True,True,EA,1.0,03:20 03-Mar-2025,12:49 13-Jun-2024,"{'debtor': '210326', 'breaks': [{'price_rule': '06', 'currency_code': '', 'inc_tax': '149.446', 'ex_tax': '135.86', 'min_qty': 1, 'max_qty': None}], 'base_price': {'currency_code': '', 'inc_tax': '149.446', 'ex_tax': '135.86'}}","{'type': '**', 'note': 'degree inch skywatcher'}",,,"{'warehouse': '1', 'quantity': '24.0'}{'warehouse': '1A', 'quantity': '0.0'}{'warehouse': 'DO', 'quantity': '0.0'}","{'code': 'CTN', 'conv': '1.0', 'gtin': '', 'weight': '0.0', 'height': '0.0', 'width': '0.0', 'depth': '0.0'}{'code': 'EA', 'conv': '1.0', 'gtin': '', 'weight': '0.0', 'height': '0.0', 'width': '0.0', 'depth': '0.0'}{'code': 'PLT', 'conv': '999999.0', 'gtin': '', 'weight': '0.0', 'height': '0.0', 'width': '0.0', 'depth': '0.0'}",200_0|SKY|SKY|end-of-line-clearance|SKYWATCHER,"<div id=""tabs-1""></div>"
