system,specification_title,specification_title_value
https://www.flipkart.com/dyanora-68-58-cm-27-inch-full-hd-va-panel-anti-glare-screen-ultra-slim-bezel-less-design-free-sync-2-x-3w-inbuilt-speakers-monitor-dy-mn27f0n/p/itmbd7d5d715dd8c?pid=MONGTDP7SEJR8D3A&lid=LSTMONGTDP7SEJR8D3AWEIJYG&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_15_354&otracker=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&fm=organic&iid=2519dc0f-da14-431a-9b24-980c7c28142a.MONGTDP7SEJR8D3A.SEARCH&ppt=None&ppn=None&ssid=rhyggaqam80000001740133788633&qH=08b5411f848a2581,Sales Package,"1 Monitor, 1 Base Stand, 1 Hdmi Cable, 1 User Manual, 3 Screws, 1 Warranty Card"
https://www.flipkart.com/dyanora-68-58-cm-27-inch-full-hd-va-panel-anti-glare-screen-ultra-slim-bezel-less-design-free-sync-2-x-3w-inbuilt-speakers-monitor-dy-mn27f0n/p/itmbd7d5d715dd8c?pid=MONGTDP7SEJR8D3A&lid=LSTMONGTDP7SEJR8D3AWEIJYG&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_15_354&otracker=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&fm=organic&iid=2519dc0f-da14-431a-9b24-980c7c28142a.MONGTDP7SEJR8D3A.SEARCH&ppt=None&ppn=None&ssid=rhyggaqam80000001740133788633&qH=08b5411f848a2581,Screen Form Factor,Flat
https://www.flipkart.com/dyanora-68-58-cm-27-inch-full-hd-va-panel-anti-glare-screen-ultra-slim-bezel-less-design-free-sync-2-x-3w-inbuilt-speakers-monitor-dy-mn27f0n/p/itmbd7d5d715dd8c?pid=MONGTDP7SEJR8D3A&lid=LSTMONGTDP7SEJR8D3AWEIJYG&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_15_354&otracker=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&fm=organic&iid=2519dc0f-da14-431a-9b24-980c7c28142a.MONGTDP7SEJR8D3A.SEARCH&ppt=None&ppn=None&ssid=rhyggaqam80000001740133788633&qH=08b5411f848a2581,Display Screen Coating,Anti-glare
https://www.flipkart.com/dyanora-68-58-cm-27-inch-full-hd-va-panel-anti-glare-screen-ultra-slim-bezel-less-design-free-sync-2-x-3w-inbuilt-speakers-monitor-dy-mn27f0n/p/itmbd7d5d715dd8c?pid=MONGTDP7SEJR8D3A&lid=LSTMONGTDP7SEJR8D3AWEIJYG&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_15_354&otracker=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&fm=organic&iid=2519dc0f-da14-431a-9b24-980c7c28142a.MONGTDP7SEJR8D3A.SEARCH&ppt=None&ppn=None&ssid=rhyggaqam80000001740133788633&qH=08b5411f848a2581,Number of Colors,16.7 m Colors
https://www.flipkart.com/dyanora-68-58-cm-27-inch-full-hd-va-panel-anti-glare-screen-ultra-slim-bezel-less-design-free-sync-2-x-3w-inbuilt-speakers-monitor-dy-mn27f0n/p/itmbd7d5d715dd8c?pid=MONGTDP7SEJR8D3A&lid=LSTMONGTDP7SEJR8D3AWEIJYG&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_15_354&otracker=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&fm=organic&iid=2519dc0f-da14-431a-9b24-980c7c28142a.MONGTDP7SEJR8D3A.SEARCH&ppt=None&ppn=None&ssid=rhyggaqam80000001740133788633&qH=08b5411f848a2581,Maximum Refresh Rate,"75 Hz (Analog), 75 Hz (Digital)"
https://www.flipkart.com/dyanora-68-58-cm-27-inch-full-hd-va-panel-anti-glare-screen-ultra-slim-bezel-less-design-free-sync-2-x-3w-inbuilt-speakers-monitor-dy-mn27f0n/p/itmbd7d5d715dd8c?pid=MONGTDP7SEJR8D3A&lid=LSTMONGTDP7SEJR8D3AWEIJYG&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_15_354&otracker=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&fm=organic&iid=2519dc0f-da14-431a-9b24-980c7c28142a.MONGTDP7SEJR8D3A.SEARCH&ppt=None&ppn=None&ssid=rhyggaqam80000001740133788633&qH=08b5411f848a2581,Maximum 3D Refresh Rate,75 Hz
https://www.flipkart.com/samsung-71-12-cm-28-inch-4k-ultra-hd-led-backlit-ips-panel-pip-pib-multi-tasking-hdr-support-eye-comfort-bezel-less-monitor-lu28r550uqwxxl/p/itm2dc20ee0ce06e?pid=MONFYGGAZBPTJ3QP&lid=LSTMONFYGGAZBPTJ3QPZWX9IM&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_15_351&otracker=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&fm=organic&iid=2519dc0f-da14-431a-9b24-980c7c28142a.MONFYGGAZBPTJ3QP.SEARCH&ppt=None&ppn=None&ssid=rhyggaqam80000001740133788633&qH=08b5411f848a2581,Model Name,LU28R550UQWXXL
https://www.flipkart.com/samsung-71-12-cm-28-inch-4k-ultra-hd-led-backlit-ips-panel-pip-pib-multi-tasking-hdr-support-eye-comfort-bezel-less-monitor-lu28r550uqwxxl/p/itm2dc20ee0ce06e?pid=MONFYGGAZBPTJ3QP&lid=LSTMONFYGGAZBPTJ3QPZWX9IM&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_15_351&otracker=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&fm=organic&iid=2519dc0f-da14-431a-9b24-980c7c28142a.MONFYGGAZBPTJ3QP.SEARCH&ppt=None&ppn=None&ssid=rhyggaqam80000001740133788633&qH=08b5411f848a2581,Color,Dark Blue Grey
https://www.flipkart.com/samsung-71-12-cm-28-inch-4k-ultra-hd-led-backlit-ips-panel-pip-pib-multi-tasking-hdr-support-eye-comfort-bezel-less-monitor-lu28r550uqwxxl/p/itm2dc20ee0ce06e?pid=MONFYGGAZBPTJ3QP&lid=LSTMONFYGGAZBPTJ3QPZWX9IM&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_15_351&otracker=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&fm=organic&iid=2519dc0f-da14-431a-9b24-980c7c28142a.MONFYGGAZBPTJ3QP.SEARCH&ppt=None&ppn=None&ssid=rhyggaqam80000001740133788633&qH=08b5411f848a2581,Display,71.12 cm (28 inch) LED Backlit Display
https://www.flipkart.com/samsung-71-12-cm-28-inch-4k-ultra-hd-led-backlit-ips-panel-pip-pib-multi-tasking-hdr-support-eye-comfort-bezel-less-monitor-lu28r550uqwxxl/p/itm2dc20ee0ce06e?pid=MONFYGGAZBPTJ3QP&lid=LSTMONFYGGAZBPTJ3QPZWX9IM&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_15_351&otracker=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&fm=organic&iid=2519dc0f-da14-431a-9b24-980c7c28142a.MONFYGGAZBPTJ3QP.SEARCH&ppt=None&ppn=None&ssid=rhyggaqam80000001740133788633&qH=08b5411f848a2581,Backlight,LED Backlit Backlight
https://www.flipkart.com/samsung-71-12-cm-28-inch-4k-ultra-hd-led-backlit-ips-panel-pip-pib-multi-tasking-hdr-support-eye-comfort-bezel-less-monitor-lu28r550uqwxxl/p/itm2dc20ee0ce06e?pid=MONFYGGAZBPTJ3QP&lid=LSTMONFYGGAZBPTJ3QPZWX9IM&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_15_351&otracker=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&fm=organic&iid=2519dc0f-da14-431a-9b24-980c7c28142a.MONFYGGAZBPTJ3QP.SEARCH&ppt=None&ppn=None&ssid=rhyggaqam80000001740133788633&qH=08b5411f848a2581,Panel Type,IPS Panel
https://www.flipkart.com/samsung-71-12-cm-28-inch-4k-ultra-hd-led-backlit-ips-panel-pip-pib-multi-tasking-hdr-support-eye-comfort-bezel-less-monitor-lu28r550uqwxxl/p/itm2dc20ee0ce06e?pid=MONFYGGAZBPTJ3QP&lid=LSTMONFYGGAZBPTJ3QPZWX9IM&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_15_351&otracker=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&fm=organic&iid=2519dc0f-da14-431a-9b24-980c7c28142a.MONFYGGAZBPTJ3QP.SEARCH&ppt=None&ppn=None&ssid=rhyggaqam80000001740133788633&qH=08b5411f848a2581,Resolution,3840 x 2160 pixels
https://www.flipkart.com/samsung-71-12-cm-28-inch-4k-ultra-hd-led-backlit-ips-panel-pip-pib-multi-tasking-hdr-support-eye-comfort-bezel-less-monitor-lu28r550uqwxxl/p/itm2dc20ee0ce06e?pid=MONFYGGAZBPTJ3QP&lid=LSTMONFYGGAZBPTJ3QPZWX9IM&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_15_351&otracker=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&fm=organic&iid=2519dc0f-da14-431a-9b24-980c7c28142a.MONFYGGAZBPTJ3QP.SEARCH&ppt=None&ppn=None&ssid=rhyggaqam80000001740133788633&qH=08b5411f848a2581,Screen Resolution Type,4K Ultra HD
https://www.flipkart.com/samsung-71-12-cm-28-inch-4k-ultra-hd-led-backlit-ips-panel-pip-pib-multi-tasking-hdr-support-eye-comfort-bezel-less-monitor-lu28r550uqwxxl/p/itm2dc20ee0ce06e?pid=MONFYGGAZBPTJ3QP&lid=LSTMONFYGGAZBPTJ3QPZWX9IM&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_15_351&otracker=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&fm=organic&iid=2519dc0f-da14-431a-9b24-980c7c28142a.MONFYGGAZBPTJ3QP.SEARCH&ppt=None&ppn=None&ssid=rhyggaqam80000001740133788633&qH=08b5411f848a2581,Sales Package,"1 Monitor, Warranty Card"
https://www.flipkart.com/samsung-71-12-cm-28-inch-4k-ultra-hd-led-backlit-ips-panel-pip-pib-multi-tasking-hdr-support-eye-comfort-bezel-less-monitor-lu28r550uqwxxl/p/itm2dc20ee0ce06e?pid=MONFYGGAZBPTJ3QP&lid=LSTMONFYGGAZBPTJ3QPZWX9IM&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_15_351&otracker=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&fm=organic&iid=2519dc0f-da14-431a-9b24-980c7c28142a.MONFYGGAZBPTJ3QP.SEARCH&ppt=None&ppn=None&ssid=rhyggaqam80000001740133788633&qH=08b5411f848a2581,Screen Form Factor,Flat
https://www.flipkart.com/samsung-71-12-cm-28-inch-4k-ultra-hd-led-backlit-ips-panel-pip-pib-multi-tasking-hdr-support-eye-comfort-bezel-less-monitor-lu28r550uqwxxl/p/itm2dc20ee0ce06e?pid=MONFYGGAZBPTJ3QP&lid=LSTMONFYGGAZBPTJ3QPZWX9IM&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_15_351&otracker=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&fm=organic&iid=2519dc0f-da14-431a-9b24-980c7c28142a.MONFYGGAZBPTJ3QP.SEARCH&ppt=None&ppn=None&ssid=rhyggaqam80000001740133788633&qH=08b5411f848a2581,Maximum Refresh Rate,"60 Hz (Analog), 60 Hz (Digital)"
https://www.flipkart.com/samsung-71-12-cm-28-inch-4k-ultra-hd-led-backlit-ips-panel-pip-pib-multi-tasking-hdr-support-eye-comfort-bezel-less-monitor-lu28r550uqwxxl/p/itm2dc20ee0ce06e?pid=MONFYGGAZBPTJ3QP&lid=LSTMONFYGGAZBPTJ3QPZWX9IM&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_15_351&otracker=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&fm=organic&iid=2519dc0f-da14-431a-9b24-980c7c28142a.MONFYGGAZBPTJ3QP.SEARCH&ppt=None&ppn=None&ssid=rhyggaqam80000001740133788633&qH=08b5411f848a2581,Aspect Ratio,16:09
https://www.flipkart.com/samsung-71-12-cm-28-inch-4k-ultra-hd-led-backlit-ips-panel-pip-pib-multi-tasking-hdr-support-eye-comfort-bezel-less-monitor-lu28r550uqwxxl/p/itm2dc20ee0ce06e?pid=MONFYGGAZBPTJ3QP&lid=LSTMONFYGGAZBPTJ3QPZWX9IM&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_15_351&otracker=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&fm=organic&iid=2519dc0f-da14-431a-9b24-980c7c28142a.MONFYGGAZBPTJ3QP.SEARCH&ppt=None&ppn=None&ssid=rhyggaqam80000001740133788633&qH=08b5411f848a2581,Response Time,4 ms
https://www.flipkart.com/lapcare-60-45-cm-23-8-inch-full-hd-led-backlit-ips-panel-metal-stand-vga-hdmi-port-light-weight-power-saver-flicker-free-wall-mountable-slim-monitor-lm24wfhd/p/itm29b631c8c3505?pid=MONGQMYGHTBRMFHC&lid=LSTMONGQMYGHTBRMFHCW6MDL5&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_15_350&otracker=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&fm=organic&iid=2519dc0f-da14-431a-9b24-980c7c28142a.MONGQMYGHTBRMFHC.SEARCH&ppt=None&ppn=None&ssid=rhyggaqam80000001740133788633&qH=08b5411f848a2581,Model Name,LM24WFHD
https://www.flipkart.com/lapcare-60-45-cm-23-8-inch-full-hd-led-backlit-ips-panel-metal-stand-vga-hdmi-port-light-weight-power-saver-flicker-free-wall-mountable-slim-monitor-lm24wfhd/p/itm29b631c8c3505?pid=MONGQMYGHTBRMFHC&lid=LSTMONGQMYGHTBRMFHCW6MDL5&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_15_350&otracker=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&fm=organic&iid=2519dc0f-da14-431a-9b24-980c7c28142a.MONGQMYGHTBRMFHC.SEARCH&ppt=None&ppn=None&ssid=rhyggaqam80000001740133788633&qH=08b5411f848a2581,Color,"White, Silver"
https://www.flipkart.com/lapcare-60-45-cm-23-8-inch-full-hd-led-backlit-ips-panel-metal-stand-vga-hdmi-port-light-weight-power-saver-flicker-free-wall-mountable-slim-monitor-lm24wfhd/p/itm29b631c8c3505?pid=MONGQMYGHTBRMFHC&lid=LSTMONGQMYGHTBRMFHCW6MDL5&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_15_350&otracker=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&fm=organic&iid=2519dc0f-da14-431a-9b24-980c7c28142a.MONGQMYGHTBRMFHC.SEARCH&ppt=None&ppn=None&ssid=rhyggaqam80000001740133788633&qH=08b5411f848a2581,Display,60.45 cm (23.8 inch) LED Display
https://www.flipkart.com/lapcare-60-45-cm-23-8-inch-full-hd-led-backlit-ips-panel-metal-stand-vga-hdmi-port-light-weight-power-saver-flicker-free-wall-mountable-slim-monitor-lm24wfhd/p/itm29b631c8c3505?pid=MONGQMYGHTBRMFHC&lid=LSTMONGQMYGHTBRMFHCW6MDL5&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_15_350&otracker=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&fm=organic&iid=2519dc0f-da14-431a-9b24-980c7c28142a.MONGQMYGHTBRMFHC.SEARCH&ppt=None&ppn=None&ssid=rhyggaqam80000001740133788633&qH=08b5411f848a2581,Backlight,LED Backlit Backlight
https://www.flipkart.com/lapcare-60-45-cm-23-8-inch-full-hd-led-backlit-ips-panel-metal-stand-vga-hdmi-port-light-weight-power-saver-flicker-free-wall-mountable-slim-monitor-lm24wfhd/p/itm29b631c8c3505?pid=MONGQMYGHTBRMFHC&lid=LSTMONGQMYGHTBRMFHCW6MDL5&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_15_350&otracker=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&fm=organic&iid=2519dc0f-da14-431a-9b24-980c7c28142a.MONGQMYGHTBRMFHC.SEARCH&ppt=None&ppn=None&ssid=rhyggaqam80000001740133788633&qH=08b5411f848a2581,Panel Type,IPS Panel
https://www.flipkart.com/lapcare-60-45-cm-23-8-inch-full-hd-led-backlit-ips-panel-metal-stand-vga-hdmi-port-light-weight-power-saver-flicker-free-wall-mountable-slim-monitor-lm24wfhd/p/itm29b631c8c3505?pid=MONGQMYGHTBRMFHC&lid=LSTMONGQMYGHTBRMFHCW6MDL5&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_15_350&otracker=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&fm=organic&iid=2519dc0f-da14-431a-9b24-980c7c28142a.MONGQMYGHTBRMFHC.SEARCH&ppt=None&ppn=None&ssid=rhyggaqam80000001740133788633&qH=08b5411f848a2581,Resolution,1920 x 1080 pixels
https://www.flipkart.com/lapcare-60-45-cm-23-8-inch-full-hd-led-backlit-ips-panel-metal-stand-vga-hdmi-port-light-weight-power-saver-flicker-free-wall-mountable-slim-monitor-lm24wfhd/p/itm29b631c8c3505?pid=MONGQMYGHTBRMFHC&lid=LSTMONGQMYGHTBRMFHCW6MDL5&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_15_350&otracker=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&fm=organic&iid=2519dc0f-da14-431a-9b24-980c7c28142a.MONGQMYGHTBRMFHC.SEARCH&ppt=None&ppn=None&ssid=rhyggaqam80000001740133788633&qH=08b5411f848a2581,Screen Resolution Type,Full HD
https://www.flipkart.com/lapcare-60-45-cm-23-8-inch-full-hd-led-backlit-ips-panel-metal-stand-vga-hdmi-port-light-weight-power-saver-flicker-free-wall-mountable-slim-monitor-lm24wfhd/p/itm29b631c8c3505?pid=MONGQMYGHTBRMFHC&lid=LSTMONGQMYGHTBRMFHCW6MDL5&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_15_350&otracker=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&fm=organic&iid=2519dc0f-da14-431a-9b24-980c7c28142a.MONGQMYGHTBRMFHC.SEARCH&ppt=None&ppn=None&ssid=rhyggaqam80000001740133788633&qH=08b5411f848a2581,Part Number,LKTFHD8121
https://www.flipkart.com/lapcare-60-45-cm-23-8-inch-full-hd-led-backlit-ips-panel-metal-stand-vga-hdmi-port-light-weight-power-saver-flicker-free-wall-mountable-slim-monitor-lm24wfhd/p/itm29b631c8c3505?pid=MONGQMYGHTBRMFHC&lid=LSTMONGQMYGHTBRMFHCW6MDL5&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_15_350&otracker=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&fm=organic&iid=2519dc0f-da14-431a-9b24-980c7c28142a.MONGQMYGHTBRMFHC.SEARCH&ppt=None&ppn=None&ssid=rhyggaqam80000001740133788633&qH=08b5411f848a2581,Sales Package,"1 Monitor, Stand, Cable, User Manual, Warranty Card"
https://www.flipkart.com/lapcare-60-45-cm-23-8-inch-full-hd-led-backlit-ips-panel-metal-stand-vga-hdmi-port-light-weight-power-saver-flicker-free-wall-mountable-slim-monitor-lm24wfhd/p/itm29b631c8c3505?pid=MONGQMYGHTBRMFHC&lid=LSTMONGQMYGHTBRMFHCW6MDL5&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_15_350&otracker=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&fm=organic&iid=2519dc0f-da14-431a-9b24-980c7c28142a.MONGQMYGHTBRMFHC.SEARCH&ppt=None&ppn=None&ssid=rhyggaqam80000001740133788633&qH=08b5411f848a2581,Screen Form Factor,Flat
https://www.flipkart.com/lapcare-60-45-cm-23-8-inch-full-hd-led-backlit-ips-panel-metal-stand-vga-hdmi-port-light-weight-power-saver-flicker-free-wall-mountable-slim-monitor-lm24wfhd/p/itm29b631c8c3505?pid=MONGQMYGHTBRMFHC&lid=LSTMONGQMYGHTBRMFHCW6MDL5&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_15_350&otracker=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&fm=organic&iid=2519dc0f-da14-431a-9b24-980c7c28142a.MONGQMYGHTBRMFHC.SEARCH&ppt=None&ppn=None&ssid=rhyggaqam80000001740133788633&qH=08b5411f848a2581,Maximum Refresh Rate,"60 Hz (Analog), 60 Hz (Digital)"
https://www.flipkart.com/lapcare-60-45-cm-23-8-inch-full-hd-led-backlit-ips-panel-metal-stand-vga-hdmi-port-light-weight-power-saver-flicker-free-wall-mountable-slim-monitor-lm24wfhd/p/itm29b631c8c3505?pid=MONGQMYGHTBRMFHC&lid=LSTMONGQMYGHTBRMFHCW6MDL5&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_15_350&otracker=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&fm=organic&iid=2519dc0f-da14-431a-9b24-980c7c28142a.MONGQMYGHTBRMFHC.SEARCH&ppt=None&ppn=None&ssid=rhyggaqam80000001740133788633&qH=08b5411f848a2581,Aspect Ratio,16:09
https://www.flipkart.com/samsung-81-28-cm-32-inch-4k-ultra-hd-led-backlit-va-panel-1-billion-colors-pbp-slim-bezels-flat-monitor-lu32j590uqwxxl/p/itm5b70dea04eb34?pid=MONFYGGAUFZAZKSZ&lid=LSTMONFYGGAUFZAZKSZWKSERF&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_15_349&otracker=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&fm=organic&iid=2519dc0f-da14-431a-9b24-980c7c28142a.MONFYGGAUFZAZKSZ.SEARCH&ppt=None&ppn=None&ssid=rhyggaqam80000001740133788633&qH=08b5411f848a2581,Model Name,LU32J590UQWXXL
https://www.flipkart.com/samsung-81-28-cm-32-inch-4k-ultra-hd-led-backlit-va-panel-1-billion-colors-pbp-slim-bezels-flat-monitor-lu32j590uqwxxl/p/itm5b70dea04eb34?pid=MONFYGGAUFZAZKSZ&lid=LSTMONFYGGAUFZAZKSZWKSERF&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_15_349&otracker=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&fm=organic&iid=2519dc0f-da14-431a-9b24-980c7c28142a.MONFYGGAUFZAZKSZ.SEARCH&ppt=None&ppn=None&ssid=rhyggaqam80000001740133788633&qH=08b5411f848a2581,Color,Dark Blue Grey
https://www.flipkart.com/samsung-81-28-cm-32-inch-4k-ultra-hd-led-backlit-va-panel-1-billion-colors-pbp-slim-bezels-flat-monitor-lu32j590uqwxxl/p/itm5b70dea04eb34?pid=MONFYGGAUFZAZKSZ&lid=LSTMONFYGGAUFZAZKSZWKSERF&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_15_349&otracker=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&fm=organic&iid=2519dc0f-da14-431a-9b24-980c7c28142a.MONFYGGAUFZAZKSZ.SEARCH&ppt=None&ppn=None&ssid=rhyggaqam80000001740133788633&qH=08b5411f848a2581,Display,81.28 cm (32 inch) LED Backlit Display
https://www.flipkart.com/samsung-81-28-cm-32-inch-4k-ultra-hd-led-backlit-va-panel-1-billion-colors-pbp-slim-bezels-flat-monitor-lu32j590uqwxxl/p/itm5b70dea04eb34?pid=MONFYGGAUFZAZKSZ&lid=LSTMONFYGGAUFZAZKSZWKSERF&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_15_349&otracker=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&fm=organic&iid=2519dc0f-da14-431a-9b24-980c7c28142a.MONFYGGAUFZAZKSZ.SEARCH&ppt=None&ppn=None&ssid=rhyggaqam80000001740133788633&qH=08b5411f848a2581,Backlight,LED Backlit Backlight
https://www.flipkart.com/samsung-81-28-cm-32-inch-4k-ultra-hd-led-backlit-va-panel-1-billion-colors-pbp-slim-bezels-flat-monitor-lu32j590uqwxxl/p/itm5b70dea04eb34?pid=MONFYGGAUFZAZKSZ&lid=LSTMONFYGGAUFZAZKSZWKSERF&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_15_349&otracker=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&fm=organic&iid=2519dc0f-da14-431a-9b24-980c7c28142a.MONFYGGAUFZAZKSZ.SEARCH&ppt=None&ppn=None&ssid=rhyggaqam80000001740133788633&qH=08b5411f848a2581,Panel Type,VA Panel
