system,specification_title,specification_title_value
https://www.flipkart.com/viewsonic-va-series-60-45-cm-23-8-inch-full-hd-led-backlit-panel-white-colour-frameless-monitor-va2430-h-w-6/p/itm0a477b0605992?pid=MONG6FF9HHY2UHZY&lid=LSTMONG6FF9HHY2UHZY4RBLM2&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_15_353&otracker=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&fm=organic&iid=2519dc0f-da14-431a-9b24-980c7c28142a.MONG6FF9HHY2UHZY.SEARCH&ppt=None&ppn=None&ssid=rhyggaqam80000001740133788633&qH=08b5411f848a2581,Maximum Refresh Rate,"60 Hz (Analog), 60 Hz (Digital)"
https://www.flipkart.com/viewsonic-va-series-60-45-cm-23-8-inch-full-hd-led-backlit-panel-white-colour-frameless-monitor-va2430-h-w-6/p/itm0a477b0605992?pid=MONG6FF9HHY2UHZY&lid=LSTMONG6FF9HHY2UHZY4RBLM2&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_15_353&otracker=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&fm=organic&iid=2519dc0f-da14-431a-9b24-980c7c28142a.MONG6FF9HHY2UHZY.SEARCH&ppt=None&ppn=None&ssid=rhyggaqam80000001740133788633&qH=08b5411f848a2581,Maximum 3D Refresh Rate,60 Hz
https://www.flipkart.com/acer-k2-60-96-cm-24-inch-full-hd-va-panel-monitor-k242hyl/p/itme1c611c62ed05?pid=MONG5ZV3BQZ6DFGV&lid=LSTMONG5ZV3BQZ6DFGVE63P0W&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_15_355&otracker=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&fm=organic&iid=2519dc0f-da14-431a-9b24-980c7c28142a.MONG5ZV3BQZ6DFGV.SEARCH&ppt=None&ppn=None&ssid=rhyggaqam80000001740133788633&qH=08b5411f848a2581,Model Name,K242HYL
https://www.flipkart.com/acer-k2-60-96-cm-24-inch-full-hd-va-panel-monitor-k242hyl/p/itme1c611c62ed05?pid=MONG5ZV3BQZ6DFGV&lid=LSTMONG5ZV3BQZ6DFGVE63P0W&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_15_355&otracker=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&fm=organic&iid=2519dc0f-da14-431a-9b24-980c7c28142a.MONG5ZV3BQZ6DFGV.SEARCH&ppt=None&ppn=None&ssid=rhyggaqam80000001740133788633&qH=08b5411f848a2581,Series,K2
https://www.flipkart.com/acer-k2-60-96-cm-24-inch-full-hd-va-panel-monitor-k242hyl/p/itme1c611c62ed05?pid=MONG5ZV3BQZ6DFGV&lid=LSTMONG5ZV3BQZ6DFGVE63P0W&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_15_355&otracker=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&fm=organic&iid=2519dc0f-da14-431a-9b24-980c7c28142a.MONG5ZV3BQZ6DFGV.SEARCH&ppt=None&ppn=None&ssid=rhyggaqam80000001740133788633&qH=08b5411f848a2581,Color,Black
https://www.flipkart.com/acer-k2-60-96-cm-24-inch-full-hd-va-panel-monitor-k242hyl/p/itme1c611c62ed05?pid=MONG5ZV3BQZ6DFGV&lid=LSTMONG5ZV3BQZ6DFGVE63P0W&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_15_355&otracker=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&fm=organic&iid=2519dc0f-da14-431a-9b24-980c7c28142a.MONG5ZV3BQZ6DFGV.SEARCH&ppt=None&ppn=None&ssid=rhyggaqam80000001740133788633&qH=08b5411f848a2581,Display,60.96 cm (24 inch) IPS Panel Display
https://www.flipkart.com/acer-k2-60-96-cm-24-inch-full-hd-va-panel-monitor-k242hyl/p/itme1c611c62ed05?pid=MONG5ZV3BQZ6DFGV&lid=LSTMONG5ZV3BQZ6DFGVE63P0W&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_15_355&otracker=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&fm=organic&iid=2519dc0f-da14-431a-9b24-980c7c28142a.MONG5ZV3BQZ6DFGV.SEARCH&ppt=None&ppn=None&ssid=rhyggaqam80000001740133788633&qH=08b5411f848a2581,Panel Type,VA Panel
https://www.flipkart.com/acer-k2-60-96-cm-24-inch-full-hd-va-panel-monitor-k242hyl/p/itme1c611c62ed05?pid=MONG5ZV3BQZ6DFGV&lid=LSTMONG5ZV3BQZ6DFGVE63P0W&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_15_355&otracker=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&fm=organic&iid=2519dc0f-da14-431a-9b24-980c7c28142a.MONG5ZV3BQZ6DFGV.SEARCH&ppt=None&ppn=None&ssid=rhyggaqam80000001740133788633&qH=08b5411f848a2581,Resolution,1920 x 1080 pixels
https://www.flipkart.com/acer-k2-60-96-cm-24-inch-full-hd-va-panel-monitor-k242hyl/p/itme1c611c62ed05?pid=MONG5ZV3BQZ6DFGV&lid=LSTMONG5ZV3BQZ6DFGVE63P0W&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_15_355&otracker=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&fm=organic&iid=2519dc0f-da14-431a-9b24-980c7c28142a.MONG5ZV3BQZ6DFGV.SEARCH&ppt=None&ppn=None&ssid=rhyggaqam80000001740133788633&qH=08b5411f848a2581,Screen Resolution Type,Full HD
https://www.flipkart.com/acer-k2-60-96-cm-24-inch-full-hd-va-panel-monitor-k242hyl/p/itme1c611c62ed05?pid=MONG5ZV3BQZ6DFGV&lid=LSTMONG5ZV3BQZ6DFGVE63P0W&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_15_355&otracker=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&fm=organic&iid=2519dc0f-da14-431a-9b24-980c7c28142a.MONG5ZV3BQZ6DFGV.SEARCH&ppt=None&ppn=None&ssid=rhyggaqam80000001740133788633&qH=08b5411f848a2581,Sales Package,"1 Monitor, Stand, Power Cable, VGA Cable"
